,trig_ids,datetime,duration,det trigs,catalog_triggers,sigma_r0,sigma_r1,sigma_r2,S_type
0,2010_0,2010-11-01 21:34:05,34.81,n3 n4 n5,GRB101101899,5.54,8.51,0.0,R
1,2010_1,2010-11-02 14:16:36,8.19,n2,UNKNOWN: GRB/GF,3.99,3.38,0.0,P
2,2010_2,2010-11-02 20:10:09,41.47,n6 n7 n8 n9 nb,GRB101102840,5.9,$>10$,0.0,R
3,2010_3,2010-11-03 12:13:28,114.69,n0 n1 n2 n3 n4 n5 n9 na nb,SFLARE10110350,$>10$,$>10$,0.0,R
4,2010_4,2010-11-04 19:26:16,4.43,n2,GRB101104810,0.0,3.22,0.0,P
5,2010_5,2010-11-07 00:16:24,341.51,n0 n1 n3 n4 n5,GRB101107011,8.84,$>10$,0.0,R
6,2010_6,2010-11-11 13:04:23,32.77,n2,UNKNOWN: SF/GF,4.29,5.81,0.0,P
7,2010_7,2010-11-11 18:58:17,16.38,n2 n4 n5,UNKNOWN: SF,$>10$,4.57,0.0,R
8,2010_8,2010-11-12 22:10:31,17.92,n2 n5,GRB101112924,5.36,7.77,0.0,R
9,2010_9,2010-11-12 23:36:52,96.26,n3 n6 n7 n8,GRB101112984,$>10$,$>10$,0.0,R
10,2010_10,2010-11-12 23:46:52,19.73,n1,UNKNOWN: UNC,0.0,9.18,5.31,P
11,2010_11,2010-11-13 11:35:33,202.24,n0 n1 n2 n6 n7 n8 n9 na nb,GRB101113483,$>10$,$>10$,0.0,R
12,2010_12,2010-11-14 17:53:19,229.38,n2 n4 n5 n6 n7 n9 na nb,TRANSNT1011147,$>10$,$>10$,0.0,R
13,2010_13,2010-11-17 11:54:42,108.54,n6 n7 n8 na nb,GRB101117496,$>10$,$>10$,4.04,R
14,2010_14,2010-11-22 13:23:34,8.19,n5 nb,UNKNOWN: UNC(LP),0.0,7.45,5.41,R
15,2010_15,2010-11-23 22:52:10,204.8,n0 n1 n2 n5 n6 n7 n8 n9 na nb,GRB101123952,$>10$,$>10$,$>10$,R
16,2010_16,2010-11-26 04:44:26,112.13,n3 n4 n5 n6 n7 n8 n9 na nb,GRB101126198,$>10$,$>10$,7.12,R
17,2010_18,2010-11-27 02:27:34,45.06,n6 n7 n9 nb,GRB101127102,6.34,$>10$,0.0,R
18,2010_19,2010-12-01 10:01:49,108.03,n0 n1 n2 n4 n5 n7 n8 n9 na nb,GRB101201418,$>10$,$>10$,4.87,R
