,trig_ids,start_index,start_met,start_times,end_index,end_met,end_times,trig_dets
0,0,5677,573114475.1367222,2019-03-01 06:27:50,5761,573114819.206731,2019-03-01 06:33:34,"['n6_r0', 'n7_r0', 'n7_r1', 'n9_r0', 'n9_r1', 'na_r0', 'na_r1', 'nb_r0', 'nb_r1']"
1,1,6337,573117182.6420361,2019-03-01 07:12:57,6337,573117182.6420361,2019-03-01 07:12:57,"['n4_r0', 'na_r0']"
2,2,6348,573117227.6988341,2019-03-01 07:13:42,6357,573117264.5634892,2019-03-01 07:14:19,"['n4_r0', 'na_r0']"
3,3,7669,573122642.7052281,2019-03-01 08:43:57,7800,573123179.2909031,2019-03-01 08:52:54,"['n1_r0', 'n2_r0', 'n3_r0', 'n4_r0', 'n6_r0', 'n7_r0', 'n8_r0', 'n9_r0', 'na_r0']"
4,4,7804,573123195.6751858,2019-03-01 08:53:10,7846,573123367.7101821,2019-03-01 08:56:02,"['n3_r0', 'n4_r0', 'n6_r0', 'n9_r0', 'na_r0']"
5,5,8113,573124461.360204,2019-03-01 09:14:16,8149,573124608.818562,2019-03-01 09:16:43,"['n0_r1', 'n6_r1', 'n9_r1', 'na_r1', 'nb_r1']"
6,6,8217,573125280.812471,2019-03-01 09:27:55,8292,573125588.0175871,2019-03-01 09:33:03,"['n3_r0', 'n3_r1', 'n4_r0', 'n4_r1', 'n6_r0', 'n6_r1', 'n9_r0', 'n9_r1', 'na_r0', 'na_r1']"
7,7,10674,573138276.7658689,2019-03-01 13:04:31,10755,573138608.547935,2019-03-01 13:10:03,"['n6_r0', 'n7_r0', 'n9_r0']"
8,8,10957,573139435.9552461,2019-03-01 13:23:50,10966,573139472.819915,2019-03-01 13:24:27,"['n0_r0', 'n3_r0']"
9,9,11021,573139698.104028,2019-03-01 13:28:13,11038,573139767.737272,2019-03-01 13:29:22,"['n0_r0', 'n3_r0']"
10,10,11235,573140574.663388,2019-03-01 13:42:49,11237,573140582.8555241,2019-03-01 13:42:57,"['n6_r0', 'n7_r0']"
11,11,12174,573146084.087425,2019-03-01 15:14:39,12179,573146104.567775,2019-03-01 15:14:59,"['n4_r0', 'n8_r0']"
12,12,12183,573146120.9520639,2019-03-01 15:15:15,12188,573146141.4324211,2019-03-01 15:15:36,"['n4_r0', 'n8_r0']"
13,13,12213,573146243.834192,2019-03-01 15:17:18,12220,573146272.506693,2019-03-01 15:17:47,"['n4_r0', 'n8_r0']"
14,14,23656,573199092.3366259,2019-03-02 05:58:07,23688,573199223.410759,2019-03-02 06:00:18,"['n2_r0', 'n4_r0', 'na_r0']"
15,15,25078,573204921.046987,2019-03-02 07:35:16,25157,573205244.6363009,2019-03-02 07:40:39,"['n0_r0', 'n3_r0', 'n4_r0', 'n5_r0', 'n6_r0', 'n9_r0', 'na_r0', 'nb_r0']"
16,16,41802,573284738.498904,2019-03-03 05:45:33,41833,573284865.4769549,2019-03-03 05:47:40,"['n0_r1', 'n1_r0', 'n1_r1', 'n2_r0', 'n2_r1', 'n5_r1']"
