n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2
0.55,0.00,0.02,0.24,0.00,0.00,0.00,0.18,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.43,0.00,0.00,0.00,0.01,0.26,0.07,0.09,0.00,0.03,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.82,0.00,0.00,0.16,0.00,0.00,0.00,0.34,0.44,0.00,0.12,0.02,0.00,0.00,0.00,0.31,0.03,0.03,0.00,0.15,0.00,0.00,0.14,0.00,0.40,0.00,0.00,0.48,0.00,0.00,0.13,0.00,0.00,0.49,0.00,0.00
0.83,0.00,0.00,0.33,0.44,0.00,0.26,0.28,0.49,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.12,0.12,0.00,0.00,0.11,0.36,0.00,0.05,0.48,0.00,0.00,0.00,0.00,0.00,0.50,0.39,0.01
0.67,0.12,0.00,0.40,0.13,0.00,0.15,0.00,0.38,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.54,0.01,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.38,0.00
0.04,0.31,0.00,0.39,0.00,0.42,0.33,0.16,0.32,0.00,0.25,0.00,0.00,0.00,0.48,0.00,0.00,0.02,0.18,0.00,0.12,0.38,0.00,0.28,0.00,0.00,0.00,0.00,0.11,0.00,0.46,0.00,0.00,0.00,0.16,0.00
0.00,0.14,0.00,0.00,0.00,0.38,0.28,0.00,0.11,0.00,0.14,0.00,0.00,0.00,0.53,0.30,0.34,0.00,0.23,0.16,0.00,0.41,0.00,0.17,0.00,0.00,0.29,0.37,0.15,0.03,0.67,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.57,0.07,0.00,0.00,0.00,0.57,0.05,0.00,0.00,0.09,0.00,0.27,0.18,0.00,0.25,0.00,0.00,0.00,0.05,0.00,0.00,0.55,0.00,0.06,0.61,0.41,0.00,0.00,0.27,0.00,0.00
0.28,0.00,0.00,0.02,0.00,0.88,0.09,0.00,0.00,0.00,0.45,0.00,0.00,0.19,0.00,0.00,0.23,0.26,0.00,0.11,0.00,0.05,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.85,0.00,0.00,0.13,0.28,0.05,0.00
0.27,0.00,0.03,0.14,0.00,0.88,0.13,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.37,0.07,0.00,0.27,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.10,0.00,0.33,0.00
0.00,0.00,0.00,0.00,0.00,0.78,0.23,0.16,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.26,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.07,0.00,0.00,0.00,0.66,0.39,0.83,0.60,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.30,0.00,0.00,0.00,0.58,0.00,0.94,0.63,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00
0.00,0.00,0.32,0.00,0.00,0.54,0.00,0.65,0.74,0.00,0.07,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00
